Category,MeetID,MeetCountry,MeetState,MeetTown,MeetName,Name,Age,Sex,LiftKg,MeetYear
Best Deadlift,6964,USA,NE,,Nebraska State Championships & Husker Open,Tate Tobiason,,M,215.0,2016
Best Deadlift,7448,USA,NE,Omaha,Police & Fire Nationals,Mark Elbert,,M,215.0,2003
Best Deadlift,62,USA,ME,Westbrook,2016 APF Maine State Powerlifting,Nick LeFebvre,25.0,M,255.0,2016
Best Deadlift,4926,USA,RI,Johnston,2013 New England Revolution,Nikko Ferrara,,M,306.17,2013
Best Deadlift,1560,USA,KS,,Kansas Regional,Michelle Smith,,F,140.0,2015
Best Deadlift,105,USA,ME,Westbrook,Maine State Push-Pull,Randy Favreau,52.0,M,255.0,2017
Best Deadlift,6494,USA,AK,,2013 Southside Winter Classic,Mark Eppihimer,,M,320.0,2013
Best Deadlift,6723,USA,ID,,M'powered Raw Ruckus,Jake Needham,,M,327.5,2016
Best Deadlift,7769,USA,NM,Albuquerque,New Mexico State Open Powerlifting Championships,Jordan Chavez,23.0,M,300.0,2014
Best Deadlift,7580,USA,ME,Bangor,Maine State Powerlifting and Benchpress Championship,Amy Walsh,50.0,F,155.0,2012
Best Deadlift,27,USA,AK,Searcy,Rhino Open Championships,Michael Cook,36.0,M,206.38,2017
Best Deadlift,1623,USA,NM,,Southern New Mexico Open,Douglas Carmean,,M,182.5,2017
Best Deadlift,7824,USA,NM,Albuquerque,Southwest Open Powerlifting Championships,Bryan Alm,41.0,M,317.5,2015
Best Deadlift,110,USA,ID,,WPC/AWPC World Cup,Anthony Campo,21.0,M,260.0,2017
Best Deadlift,1595,USA,KS,,Kansas Regional,Randall Henderson,,M,302.5,2016
Best Deadlift,1572,USA,KS,,2016 Kansas State,Sam Tuckwin,,M,215.0,2017
Best Deadlift,7379,USA,WY,,Wyoming State Championship,Kevin McKnight,59.5,M,165.0,2018
Best Deadlift,1623,USA,NM,,Southern New Mexico Open,Dee Wicks,,M,242.5,2017
Best Deadlift,27,USA,AK,Searcy,Rhino Open Championships,Reed Rickenbac,19.0,M,260.82,2017
Best Deadlift,1340,USA,MD,Rosedale,Metal Militia Christmas Carnage,Patrick Mullaney,68.5,M,195.04,2014
Best Deadlift,6504,USA,AK,,31st Alaska Powerlifting Championship,Richard Renwick,,M,145.0,2015
Best Deadlift,7379,USA,WY,,Wyoming State Championship,Issac Lansford,17.5,M,197.5,2018
Best Deadlift,1623,USA,NM,,Southern New Mexico Open,Eddie Quinones,,M,205.0,2017
Best Deadlift,7379,USA,WY,,Wyoming State Championship,Thomas Montoya,53.5,M,182.5,2018
Best Deadlift,7721,USA,MD,Rosedale,Eastern Regional Open,William Schnepf,60.0,M,257.5,2014
Best Deadlift,110,USA,ID,,WPC/AWPC World Cup,Doug Clayton,60.0,M,215.0,2017
Best Deadlift,7562,USA,HI,Honolulu,Hawaii Benchpress and Deadlift,Kamuela Wassman,23.0,M,290.0,2011
Best Deadlift,5172,USA,MD,Towson,Mid-Atlantic and Military Nationals,Matthew Reep,,M,235.87,2017
Best Deadlift,5090,USA,MD,Towson,2016 RPS Mid-Atlantic State Championships and Military Nationals,Colin Ripley,,M,292.57,2016
Best Deadlift,7429,USA,NE,Ohama,2001 USAPL Men's National Powerlifting Championships,Brad Gillingham,,M,385.0,2001
Best Deadlift,110,USA,ID,,WPC/AWPC World Cup,Taylor Vigil,17.0,F,142.5,2017
Best Deadlift,8006,USA,NE,Omaha,Nebraska State Raw Championships,Brandon Karlin,28.0,M,342.5,2016
Best Deadlift,1340,USA,MD,Rosedale,Metal Militia Christmas Carnage,Hifon Smith,42.5,M,328.85,2014
Best Deadlift,7185,USA,RI,,MA and RI Open State Championships,Sean Noriega,,M,290.0,2016
Best Deadlift,1596,USA,NM,,New Mexico New Years Classic,Ross Haney,,M,320.0,2016
Best Deadlift,6962,USA,NE,,Ninth Annual Capitol City Clash,Wayne Hammes,,M,267.5,2016
Best Deadlift,7379,USA,WY,,Wyoming State Championship,Brady Dibble,8.5,M,62.5,2018
Best Deadlift,8431,USA,KS,Manhattan,The Foundation's Best of the Midwest Pro/Am,Mark Elder,56.0,M,292.5,2018
Best Deadlift,1607,USA,KS,,2017 Kansas State,Bob Boyles,,M,232.5,2017
Best Deadlift,7558,USA,WY,Rock Springs,Rocky Mountain Powerlifting Championship,Tom Bishop,74.0,M,115.0,2011
Best Deadlift,1536,USA,KS,,Kansas State,George Langston,,M,160.0,2015
Best Deadlift,4926,USA,RI,Johnston,2013 New England Revolution,Allen Florindo Jr,,M,260.82,2013
Best Deadlift,7656,USA,MD,Baltimore,Baltimore Open,Joshua Fontaine,19.0,M,226.8,2013
Best Deadlift,7187,USA,RI,,2016 New England Open,Mike Khoury,50.5,M,317.5,2016
Best Deadlift,1596,USA,NM,,New Mexico New Years Classic,Dee Wicks,,M,237.5,2016
Best Deadlift,8265,USA,HI,Honolulu,Hawaii Fit Expo,Nai'A Nakamoto,15.0,M,242.5,2017
Best Deadlift,5192,USA,ME,Saco,Maine Push-Pull Championships,Bert Dyer,,M,188.24,2017
Best Deadlift,7721,USA,MD,Rosedale,Eastern Regional Open,Jake Schellenschlager,14.0,M,142.5,2014
Best Deadlift,7656,USA,MD,Baltimore,Baltimore Open,Glenn Finley,43.0,M,258.55,2013
Best Deadlift,6723,USA,ID,,M'powered Raw Ruckus,Anthony Harris,,M,340.0,2016
Best Deadlift,7558,USA,WY,Rock Springs,Rocky Mountain Powerlifting Championship,Buellah Bishop,71.0,F,75.0,2011
Best Deadlift,110,USA,ID,,WPC/AWPC World Cup,Sheryl Shockley,60.0,F,127.5,2017
Best Deadlift,1609,USA,NM,,2017 New Mexico State,Sammy Tideman,,F,75.0,2017
Best Deadlift,6729,USA,ID,,Winter Wars 2017,Nicholas Esposito,24.5,M,272.5,2017
Best Deadlift,6513,USA,AK,,3rd Frostbite Challenge,Jamey Grotjahn,,M,317.5,2016
Best Deadlift,7379,USA,WY,,Wyoming State Championship,Keenan McKnight,16.5,M,160.0,2018
Best Deadlift,1623,USA,NM,,Southern New Mexico Open,Christopher Napier,,M,232.5,2017
Best Deadlift,7185,USA,RI,,MA and RI Open State Championships,James English,,M,230.0,2016
Best Deadlift,7997,USA,MD,Frederick,2nd Annual Mid Atlantic Classic,Elijah Thweatt,17.0,M,295.0,2016
Best Deadlift,113,USA,ND,,North Dakota Powerlifting Championship,Dave Baker,63.0,M,185.0,2017
Best Deadlift,7784,USA,HI,Honolulu,Hawaii Raw Power ELUA,Jeff Luffman,39.0,M,285.0,2014
Best Bench,7656,USA,MD,Baltimore,Baltimore Open,Ron Thomas,47.0,M,213.19,2013
Best Bench,5172,USA,MD,Towson,Mid-Atlantic and Military Nationals,Bill Schnepf,,M,172.37,2017
Best Bench,7558,USA,WY,Rock Springs,Rocky Mountain Powerlifting Championship,Mesa Weidle,15.0,F,37.5,2011
Best Bench,6969,USA,NE,,Warrior Collegiate Open,Erick Lewis,18.5,M,215.0,2017
Best Bench,110,USA,ID,,WPC/AWPC World Cup,Anthony Campo,21.0,M,182.5,2017
Best Bench,7558,USA,WY,Rock Springs,Rocky Mountain Powerlifting Championship,Buellah Bishop,71.0,F,40.0,2011
Best Bench,6492,USA,AK,,2013 Alaska State Championships,Matt Newton,,M,185.0,2013
Best Bench,7917,USA,KS,Wichita,Great Plains Regional Powerlifting Championships II,Herb Strange,82.0,M,82.5,2015
Best Bench,7819,USA,KS,El Dorado,All American Benchpress Championship,Patricia Cody,62.0,F,67.5,2015
Best Bench,7608,USA,WY,Rock Springs,The Baddest Bench at the Big Show,Jake Prazak,35.0,M,392.5,2012
Best Bench,81,USA,ME,Westbrook,New England Powerlifting & Bench Press Championships,Michael Pindell,44.0,M,122.0,2016
Best Bench,7188,USA,RI,,2017 Massachusetts and Rhode Island State Championships,Adam Lebel,35.5,M,202.5,2017
Best Bench,7769,USA,NM,Albuquerque,New Mexico State Open Powerlifting Championships,Jordan Barwick,21.0,M,197.5,2014
Best Bench,8277,USA,WY,Laramie,Wyoming State and Mountain West Regional,Jayden Vap,15.0,M,142.5,2017
Best Deadlift,110,USA,ID,,WPC/AWPC World Cup,Lance Davis,50.0,M,227.5,2017
Best Deadlift,7653,USA,WY,Cheyenne,Wyoming State Mountain West Regional Powerlifting Championship,Linda Schaefer-Hanley,52.0,F,195.0,2013
Best Deadlift,1572,USA,KS,,2016 Kansas State,Kenneth Goad,,M,70.0,2017
Best Deadlift,7835,USA,KS,Manhattan,Kansas Collegiate & Open Powerlifting Meet,Lexington Plummer,19.0,M,332.5,2015
Best Deadlift,62,USA,ME,Westbrook,2016 APF Maine State Powerlifting,Joeseph Neveux,20.0,M,227.5,2016
Best Deadlift,1607,USA,KS,,2017 Kansas State,Ashton Reichman,,M,252.5,2017
Best Bench,8001,USA,KS,Manhattan,Kansas State Collegiate Raw Championships,Nicolas Jackson,22.0,M,157.5,2016
Best Bench,1609,USA,NM,,2017 New Mexico State,Sammy Tideman,,F,32.5,2017
Best Bench,7921,USA,HI,Honolulu,Hawaii All Raw Full Powerlifting Challenge 3,Eric Loyola,46.0,M,162.5,2015
Best Bench,1623,USA,NM,,Southern New Mexico Open,Steve Candelaria,,M,172.5,2017
Best Bench,7656,USA,MD,Baltimore,Baltimore Open,Andre Clemons,44.0,M,120.2,2013
Best Bench,1340,USA,MD,Rosedale,Metal Militia Christmas Carnage,Scott Bixler,61.5,M,131.54,2014
Best Bench,1623,USA,NM,,Southern New Mexico Open,Vianney Franco,,F,55.0,2017
Best Bench,8006,USA,NE,Omaha,Nebraska State Raw Championships,Gracie Vanasse,27.0,F,135.0,2016
Best Deadlift,5514,USA,MT,,Montana State Championship,Austin Lenox,,M,229.06,2012
Best Deadlift,7721,USA,MD,Rosedale,Eastern Regional Open,Colin Ripley,19.0,M,275.0,2014
Best Deadlift,7656,USA,MD,Baltimore,Baltimore Open,Christopher Jackson,42.0,M,254.01,2013
Best Deadlift,1623,USA,NM,,Southern New Mexico Open,Naomi Soto,,F,67.5,2017
Best Deadlift,1578,USA,NM,,2016 New Mexico state,Alexandria Torrez,,F,22.5,2016
Best Deadlift,27,USA,AK,Searcy,Rhino Open Championships,Bradley Black,15.0,M,185.97,2017
Best Deadlift,6855,USA,MD,,Exile Open,Michael Bennett,55.5,M,292.5,2017
Best Deadlift,62,USA,ME,Westbrook,2016 APF Maine State Powerlifting,Michael White,35.0,M,207.5,2016
Best Deadlift,4968,USA,RI,Johnston,2014 New England Revolution,Drew Bielomyza,,M,297.1,2014
Best Deadlift,110,USA,ID,,WPC/AWPC World Cup,Robert Mattison,80.0,M,155.0,2017
Best Deadlift,5192,USA,ME,Saco,Maine Push-Pull Championships,Patrick Maguire,,M,317.51,2017
Best Deadlift,8059,USA,KS,Topeka,Sunflower State Powerlifting Games,Nick Ufford,17.0,M,260.0,2016
Best Deadlift,8001,USA,KS,Manhattan,Kansas State Collegiate Raw Championships,Luke Strege,19.0,M,232.5,2016
Best Deadlift,7448,USA,NE,Omaha,Police & Fire Nationals,Jim Pope,,M,330.0,2003
Best Deadlift,1340,USA,MD,Rosedale,Metal Militia Christmas Carnage,Mike Rabine,36.5,M,238.14,2014
Best Deadlift,7615,USA,HI,Honolulu,Hawaii State Benchpress and Deadlift,Romar Logamo,35.0,M,302.5,2012
Best Deadlift,7596,USA,MD,Baltimore,Baltimore Open Bench & Deadlift,Vernell Morris,,M,201.85,2012
Best Deadlift,8255,USA,MT,Billings,Magic City Fit Expo,Jim Haga,50.0,M,362.5,2017
Best Deadlift,1596,USA,NM,,New Mexico New Years Classic,William Hudson,,M,177.5,2016
Best Deadlift,8001,USA,KS,Manhattan,Kansas State Collegiate Raw Championships,Johnny McFarland,23.0,M,255.0,2016
Best Deadlift,7379,USA,WY,,Wyoming State Championship,Drake Phillips,22.5,M,220.0,2018
Best Deadlift,6492,USA,AK,,2013 Alaska State Championships,Hal Llyod,,M,240.0,2013
Best Deadlift,6513,USA,AK,,3rd Frostbite Challenge,Ben Brent,,M,60.0,2016
Best Deadlift,6968,USA,NE,,Nebraska State Championships,Brady Griffin,17.5,M,275.0,2017
Best Deadlift,7176,USA,ID,,Northwest Regional Championship,Braxton Mikesell,14.5,M,237.5,2017
Best Deadlift,110,USA,ID,,WPC/AWPC World Cup,Mostafa Heshem Mahmoud Eleraky,23.0,M,325.0,2017
Best Deadlift,6862,USA,ME,,New England Open,Keith Nautel,,M,255.0,2015
Best Deadlift,8006,USA,NE,Omaha,Nebraska State Raw Championships,Mike Zimmerman,37.0,M,312.5,2016
Best Deadlift,7176,USA,ID,,Northwest Regional Championship,Donald Rogers,24.5,M,305.0,2017
Best Deadlift,110,USA,ID,,WPC/AWPC World Cup,Doug Hulett,41.0,M,302.5,2017
Best Deadlift,7379,USA,WY,,Wyoming State Championship,Steven Hill,67.5,M,125.0,2018
Best Deadlift,110,USA,ID,,WPC/AWPC World Cup,Gordon Santee,70.0,M,152.5,2017
Best Deadlift,7562,USA,HI,Honolulu,Hawaii Benchpress and Deadlift,Ray Gandeza Sr,68.0,M,180.0,2011
Best Deadlift,110,USA,ID,,WPC/AWPC World Cup,Tayler Claflin,18.0,F,170.0,2017
Best Bench,7448,USA,NE,Omaha,Police & Fire Nationals,Robert Huizar,,M,200.0,2003
Best Bench,6504,USA,AK,,31st Alaska Powerlifting Championship,Richard Renwick,,M,82.5,2015
Best Bench,6836,USA,MD,,2014 Maryland State Powerlifting Championship,Tristan Nazelrod,,M,225.0,2014
Best Bench,1623,USA,NM,,Southern New Mexico Open,Eddie Quinones,,M,110.0,2017
Best Bench,7656,USA,MD,Baltimore,Baltimore Open,Alex Pantazonis,17.0,M,131.54,2013
Best Bench,1628,USA,NM,,New Mexico Regional,Eric Strain,,M,185.0,2017
Best Squat,65,USA,ND,Fargo,APF North Dakota Championship,Ecaterina Quintana,30.0,F,132.5,2016
Best Squat,1340,USA,MD,Rosedale,Metal Militia Christmas Carnage,Tim Albanese,55.5,M,335.66,2014
Best Squat,6962,USA,NE,,Ninth Annual Capitol City Clash,Wayne Hammes,,M,255.0,2016
Best Squat,110,USA,ID,,WPC/AWPC World Cup,Mohamed Said Ahmed Nasr,36.0,M,360.0,2017
Best Squat,1340,USA,MD,Rosedale,Metal Militia Christmas Carnage,Zach Williams,22.5,M,263.08,2014
Best Bench,7819,USA,KS,El Dorado,All American Benchpress Championship,Brad Neal,37.0,M,190.0,2015
Best Bench,7562,USA,HI,Honolulu,Hawaii Benchpress and Deadlift,Von-Dell Waiwaiole-Cabos,57.0,F,93.0,2011
Best Bench,1609,USA,NM,,2017 New Mexico State,Mercy Apodaca,,M,120.0,2017
Best Bench,1340,USA,MD,Rosedale,Metal Militia Christmas Carnage,Zachary Bishop,17.5,M,151.95,2014
Best Bench,1596,USA,NM,,New Mexico New Years Classic,Alton Shields,,M,170.0,2016
Best Bench,7615,USA,HI,Honolulu,Hawaii State Benchpress and Deadlift,Raymond Pactol,39.0,M,272.5,2012
Best Bench,110,USA,ID,,WPC/AWPC World Cup,Robert Mattison,80.0,M,95.0,2017
Best Deadlift,1595,USA,KS,,Kansas Regional,Garmez Parks,,M,260.0,2016
Best Deadlift,4973,USA,MD,Gambrills,2014 Mid-Atlantic State Championships and Military Nationals,Ignatius DeFranco,,M,290.3,2014
Best Deadlift,5192,USA,ME,Saco,Maine Push-Pull Championships,Matthew Moran,,M,278.96,2017
Best Deadlift,7656,USA,MD,Baltimore,Baltimore Open,Ron Thomas,47.0,M,260.82,2013
Best Deadlift,7690,USA,HI,Honolulu,Hawaii All Raw Powerlifting Challenge,Alexis Wascom,19.0,F,192.5,2013
Best Deadlift,7769,USA,NM,Albuquerque,New Mexico State Open Powerlifting Championships,Tyler Trainum,17.0,M,205.0,2014
Best Deadlift,8431,USA,KS,Manhattan,The Foundation's Best of the Midwest Pro/Am,John Curtis,76.0,M,192.5,2018
Best Deadlift,6638,USA,DE,,2017 Delaware State Championship,Michael Hedlesky,31.5,M,315.0,2017
Best Deadlift,1340,USA,MD,Rosedale,Metal Militia Christmas Carnage,Albert Owens Jr,51.5,M,249.48,2014
Best Deadlift,6858,USA,MD,,2017 Maryland State Championships,Bernie Bise,75.5,M,147.5,2017
Best Deadlift,6493,USA,AK,,Top of the World Powerlifting Challenge,Jimmy Scott,,M,272.5,2013
Best Deadlift,6504,USA,AK,,31st Alaska Powerlifting Championship,Jamey Grotjahn,,M,290.0,2015
Best Deadlift,7558,USA,WY,Rock Springs,Rocky Mountain Powerlifting Championship,Justin Gaudette,23.0,M,245.0,2011
Best Deadlift,110,USA,ID,,WPC/AWPC World Cup,Mohamed Said Youssef Mohamed,45.0,M,310.0,2017
